date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,bowler_one,bowler_one_wicket,bowler_two,bowler_two_wicket,batter_one,batter_one_score,batter_two,batter_two_score
NA, Nottingham,League-Match,PAK,SL,330.0,6.0,138.0,0.0,Zaheer Abbas,1975,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA, Leeds,League-Match,EAf,IND,120.0,0.0,123.0,0.0,Farokh Engineer,1975,England,played,India,NA,0,NA,0,NA,0,NA,0
1975-06-18, Leeds,Semi-Final,ENG,AUS,93.0,0.0,94.0,6.0,Gary Gilmour,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
1975-06-14, Birmingham,League-Match,ENG,EAf,290.0,5.0,94.0,0.0,John Snow,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, The Oval,Semi-Final,NZ,WI,158.0,0.0,159.0,5.0,Alvin Kallicharran,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Birmingham,League-Match,NZ,EAf,309.0,5.0,128.0,8.0,Glenn Turner,1975,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA, Birmingham,League-Match,PAK,WI,266.0,7.0,267.0,9.0,Sarfraz Nawaz,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Leeds,League-Match,AUS,PAK,278.0,7.0,205.0,0.0,Dennis Lillee,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA, Nottingham,League-Match,PAK,SL,330.0,6.0,138.0,0.0,Zaheer Abbas,1975,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1975-06-11, Nottingham,League-Match,ENG,NZ,266.0,6.0,186.0,0.0,Keith Fletcher,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, Manchester,League-Match,SL,WI,86.0,0.0,87.0,1.0,Bernard Julien,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, The Oval,Semi-Final,NZ,WI,158.0,0.0,159.0,5.0,Alvin Kallicharran,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1975-06-07, Lord's,League-Match,ENG,IND,334.0,4.0,132.0,3.0,Dennis Amiss,1975,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, Manchester,League-Match,IND,NZ,230.0,0.0,233.0,6.0,Glenn Turner,1975,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA, The Oval,League-Match,AUS,SL,328.0,5.0,276.0,4.0,Alan Turner,1975,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA, The Oval,League-Match,AUS,WI,192.0,0.0,195.0,3.0,Alvin Kallicharran,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1975-06-21, Lord's,Final,WI,AUS,291.0,8.0,274.0,0.0,Clive Lloyd,1975,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Manchester,League-Match,CAN,ENG,45.0,0.0,46.0,2.0,Chris Old,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, Lord's,League-Match,AUS,ENG,159.0,9.0,160.0,4.0,Graham Gooch,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
1979-06-16, Manchester,League-Match,SL,IND,238.0,5.0,191.0,0.0,Duleep Mendis,1979,England,played,Sri Lanka,NA,0,NA,0,NA,0,NA,0
NA, Nottingham,League-Match,PAK,AUS,286.0,7.0,197.0,0.0,Asif Iqbal,1979,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA, Birmingham,League-Match,CAN,AUS,105.0,0.0,106.0,3.0,Alan Hurst,1979,England,played,Australia,NA,0,NA,0,NA,0,NA,0
NA, Leeds,League-Match,ENG,PAK,165.0,9.0,151.0,0.0,Mike Hendrick,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, The Oval,Semi-Final,WI,PAK,293.0,6.0,250.0,0.0,Gordon Greenidge,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Manchester,League-Match,CAN,ENG,45.0,0.0,46.0,2.0,Chris Old,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
1979-06-20, Manchester,Semi-Final,ENG,NZ,221.0,8.0,212.0,9.0,Graham Gooch,1979,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, Nottingham,League-Match,SL,NZ,189.0,0.0,190.0,1.0,Geoff Howarth,1979,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1979-06-13, Leeds,League-Match,IND,NZ,182.0,0.0,183.0,2.0,Bruce Edgar,1979,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA, The Oval,League-Match,SL,WI,NA,NA,NA,NA,NA,1979,England,played,NA,NA,0,NA,0,NA,0,NA,0
NA, The Oval,Semi-Final,WI,PAK,293.0,6.0,250.0,0.0,Gordon Greenidge,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1979-06-23, Lord's,Final,WI,ENG,286.0,9.0,194.0,0.0,Viv Richards,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1979-06-09, Birmingham,League-Match,IND,WI,190.0,0.0,194.0,1.0,Gordon Greenidge,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Leeds,League-Match,CAN,PAK,139.0,9.0,140.0,2.0,Sadiq Mohammad,1979,England,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA, Nottingham,League-Match,WI,NZ,244.0,7.0,212.0,9.0,Clive Lloyd,1979,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Tunbridge Wells,League-Match,IND,ZIM,266.0,8.0,235.0,0.0,Kapil Dev,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
NA, Nottingham,League-Match,ZIM,AUS,239.0,6.0,226.0,7.0,Duncan Fletcher,1983,England,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA, Birmingham,League-Match,ZIM,WI,171.0,0.0,172.0,0.0,Faoud Bacchus,1983,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
NA, Chelmsford,League-Match,IND,AUS,247.0,0.0,129.0,0.0,Roger Binny,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
NA, Bristol,League-Match,SL,NZ,206.0,0.0,209.0,5.0,Richard Hadlee,1983,England,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA, Worcester,League-Match,ZIM,WI,217.0,7.0,218.0,2.0,Gordon Greenidge,1983,England,played,West Indies,NA,0,NA,0,NA,0,NA,0
1983-06-09, The Oval,League-Match,ENG,NZ,322.0,6.0,216.0,0.0,Allan Lamb,1983,England,played,England,NA,0,NA,0,NA,0,NA,0
NA, Leicester,League-Match,ZIM,IND,155.0,0.0,157.0,5.0,Madan Lal,1983,England,played,India,NA,0,NA,0,NA,0,NA,0
